NASSValue,CropName,Group,APEXMGT,APEXMGTNO,LUNOCV_Straight_Poor,LUNOCV_Straight_Good,LUNOCV_Contoured_Poor,LUNOCV_Contoured_Good,LUNOCV_ContouredTerraced_Poor,LUNOCV_ContouredTerrace_Good,UPN_Conventional_Tillage_No_ Residue,UPN_Conventional_Tillage_ Residue,UPN_Chisel_Plow_No_Residue,UPN_Chisel_Plow_Residue,UPN_Fall_Disking_Residue,UPN_No_Till_No_Residue,UPN_No_Till_With_Residue_0to1ton,UPN_No_Till_With_Residue_2to9ton
240,Dbl Crop Soybeans/Oats,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
241,Dbl Crop Corn/Soybeans,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
242,Blueberries,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
243,Cabbage,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
244,Cauliflower,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
245,Celery,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
246,Radishes,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
247,Turnips,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
248,Eggplants,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
249,Gourds,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
250,Cranberries,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
254,Dbl Crop Barley/Soybeans,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
2,Cotton,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
3,Rice,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
4,Sorghum,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
6,Sunflower,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
10,Peanuts,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
11,Tobacco,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
14,Mint,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
21,Barley,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
25,Other Small Grains,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
27,Rye,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
28,Oats,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
29,Millet,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
30,Speltz,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
31,Canola,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
32,Flaxseed,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
33,Safflower,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
34,Rape Seed,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
35,Mustard,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
36,Alfalfa,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
37,Other Hay/Non Alfalfa,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
38,Camelina,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
39,Buckwheat,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
41,Sugarbeets,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
42,Dry Beans,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
43,Potatoes,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
44,Other Crops,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
45,Sugarcane,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
46,Sweet Potatoes,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
47,Misc Vegs & Fruits,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
48,Watermelons,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
49,Onions,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
50,Cucumbers,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
51,Chick Peas,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
52,Lentils,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
53,Peas,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
54,Tomatoes,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
55,Caneberries,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
56,Hops,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
57,Herbs,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
58,Clover/Wildflowers,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
59,Sod/Grass Seed,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
60,Switchgrass,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
176,Grassland/Pasture,Grassland,PAST,15,20,21,22,23,24,25,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
